id,full_text,annotator_1,annotator_2,annotator_3,label
1.39E+18,"Desde @CiudadanosCs proponemos que el #DiaDeEuropa se declare un festivo nacional en toda España.  Un festivo para celebrar la unión, la libertad y la concordia junto al resto de europeos.  #MejorEuropa   https://t.co/ObQaw45BvZ",1,1,1,1
1.38E+18,Acabo de tener una vomitona virtual al oír a @eduardoinda que @Tonicanto1 es el mejor parlamentario de España,-1,-1,-1,-1
1.39E+18,"Ante este conformismo cobarde del PP, decimos:  1️⃣ Fuera restricciones y toques de queda absurdos 2️⃣ Eliminar despilfarro político y bajar impuestos 3️⃣ Fuera okupación y mafias 4️⃣ Libertad en las aulas 5️⃣ Política Social: empleo  Madrid puede ser infinitamente mejor con @vox_es https://t.co/Rl3NWGWDUt",-1,-1,-1,-1
1.38E+18,Los barrios y pueblos de la Comunidad de Madrid deben dar la espalda a la resignación y movilizarse el 4 de mayo para demostrar que están con los servicios públicos y la justicia social. #QueHableLaMayoria4M https://t.co/0IjaD24ca7,x,1,1,1
1.36E+18,"Mal perdre o preludi de noves eleccions?, per Roger Heredia https://t.co/cPO2xEMvuG",-1,x,0,0
1.36E+18,"Acabamos el día con votaciones en  la comisión @Congreso_Es trabajo, inclusión, seguridad social y migraciones | aprobando iniciativas, medidas para paliar los efectos del covid y permisos retribuidos @PSOELaRioja @gpscongreso #NadieSeQuedaAtrás @PSOE https://t.co/GLbD6DIf2Z",1,1,1,1
1.41E+18,🔴🔴🔴 ÚLTIMA HORA || El PP que acercó entre 1996 y 2004 a 426 presos a Euskadi no asiste hoy por primera vez al homenaje a las víctimas del terrorismo por miedo a que VOX le quite un puñado de votos entre el electorado más salvaje y desinformado.  Este es el titular bueno.,-1,-1,-1,-1
1.41E+18,El PP está en lo uno y lo contrario. No importa cuando lo leas. https://t.co/8fvRiQmgRn,-1,-1,-1,-1
1.40E+18,Qué tal un auténtico plan que acabe con los hogares sin ningún tipo de ingreso y un Plan de Estatal de Trabajo al estilo Biden.  Si no arrancamos con los fondos europeos con medidas de activación de empleo será un terrible error. https://t.co/lCRadpQ611,-1,1,-1,-1
1.40E+18,Nos vemos mañana...rindiendo cuentas de la actividad legislativa en las Cortes Generales! @gpscongreso #Burgos https://t.co/pbHtL69KoK,1,1,1,1
1.41E+18,"Como se entere Pedro de que se “pueden” cambiar los nombres a los meses …. Abril, Mayo, junio, pedro, supersona, septiembre,jamás, noviembre… https://t.co/oXbJBgmETz",-1,-1,-1,-1
1.37E+18,Me gusta mucho esta noticia. Es algo que se viene reclamando desde hace  muchos años.  El Gobierno planea un vuelco para que el aprendizaje en la escuela sea menos memorístico via @el_pais https://t.co/B1jsG296r5,1,1,1,1
1.38E+18,Mi padre con 77 esperando! ¿Y ya te quieres vacunar tú? Yo pensaba que los de izquierda erais algo solidarios. Algo. ¿No vendéis todo eso a diario? https://t.co/1Mtt6vGcPz,-1,-1,-1,-1
1.40E+18,"450 millones de euros al año de tus impuestos en manos de una persona que habla de “justicia feminista”. Si en casa sois 5 personas, estáis contribuyendo forzosamente con €50 para esta locura ⬇️ https://t.co/MHrEztaKmY",-1,-1,-1,-1
1.40E+18,"""Recuerden que los caciques no cambian la la historia  humana... lo más importante es la acumulación de una formidable fila india. Pero ello significa esfuerzo, tolerancia, comprensión, inteligencia y mucho compromiso"" https://t.co/2G7yNLZZ6b",-1,-1,0,-1
1.41E+18,El departamento de Cultura y Deporte de la Diputación Foral de #Álava que dirige @AdelvalDFA publica una nueva edición de sus concursos literarios Ignacio Aldecoa y Ernestina de Champourcin. https://t.co/78KdzsJW5P https://t.co/NtpjXGD6in,0,0,0,0
1.40E+18,@UrizIglesias Me lo leo Jose Luis.,0,1,0,0
1.38E+18,"No puede haber una mejor noticia, @VirginiiiaTr. Enhorabuena por tantos meses de lucha contra la enfermedad: estamos deseando volverte a ver en tu casa. Eres una campeona por partida doble.   Gracias por tu mensaje de aliento, ""no dejéis de vivir"", que nos emociona a todos❤️💪🏻 https://t.co/i2PbNyMUlx",1,1,1,1
1.40E+18,"No vamos a permitir que el Gobierno siga riéndose del sector turístico y ninguneándolo, han sido 15 meses muy duros para empresas, trabajadores y destinos. Las certezas, la movilidad, la vuelta de los turistas, no construye todo lo que hemos dejado atrás. https://t.co/VIOy4eItvt",-1,-1,-1,-1
1.40E+18,"La diferencia siempre la marca en el Barça... Corey Higgins.   Ganó quien menos falló en los últimos 3 minutos. #F4Glory   El Barcelona es el favorito para mi. Nunca desconectan del partido, el gran defecto de Efes.",1,1,1,1
1.37E+18,Así se convirtió la bici en un símbolo de libertad para la mujer https://t.co/Yy06Krmnjv via @smoda,1,1,1,1
1.38E+18,"#Zasca a los ""periolistillos""😉 https://t.co/WCv9z5uUmJ",-1,-1,-1,-1
1.38E+18,"@josevi_83 @Macarena_Olona Muchísimas felicidades, Josevi! Que pases un día maravilloso!",1,1,1,1
1.36E+18,"Defender la democracia, recuperar la virtud   https://t.co/5aRmRjgVMB vía @el_pais",1,1,1,1
1.41E+18,"¡Vamos, España!  ⚽️ 🇪🇸 #Euro2020 https://t.co/31oUBYv2LI",1,1,1,1
1.40E+18,"✅Liderar la #InteligenciaArtificial para un futuro más sostenible, justo e inclusivo.  👉🏻Miramos hacia el futuro, con el compromiso de construir un país mejor @gpscongreso ❤️❤️ https://t.co/UwBaJycbOR",1,1,1,1
1.40E+18,El @Congreso_Es ha aprobado hoy la proposición de reforma de nuestro reglamento para regular los grupos de interés.  Fortaleceremos la ética política haciendo público con quien nos reunimos y para qué. Una vida parlamentaria más transparente para reforzar la confianza ciudadana. https://t.co/7YODJPPuS5,1,1,1,1
1.40E+18,Uno de cada seis peces que se venden en las pescaderías de España contiene microplásticos en su estómago. https://t.co/TBUQCl8yLt,0,0,0,0
1.41E+18,"🇪🇸🇰🇷 Acto institucional con motivo de la visita de Estado del presidente de la República de #Corea, Moon Jae-in, esta tarde en el @Senadoesp.   Un honor recibir, junto a @pilar_llop, al presidente @moonriver365 en el Parlamento y hacerle entrega de la medalla del @Congreso_Es. https://t.co/GXudHrOoZg",1,1,1,1
1.36E+18,380 días lleva Joaquín Beltrán enterrado bajo la basura del Vertedero de Zaldívar.  380 días en nuestro recuerdo.,-1,0,-1,-1
1.37E+18,"El país funciona por quienes pagan religiosamente sus impuestos, no por quienes defraudan y se fugan del país, señora @carmencalvo_. https://t.co/pmC4JclA0z",-1,-1,-1,-1
1.36E+18,"Si a los hosteleros y comerciantes que no pueden trabajar encima les destrozan los negocios y no se les ayuda se les hunde, a ellos y a la imagen del destino, lo triste es que a los responsables del Gobierno, Generalitat y ayuntamiento les da igual, prefieren el rap malo.",-1,-1,-1,-1
1.40E+18,"Tenemos por delante un desafío de país. El #RetoDemográfico es un reto democrático: impulsar la igualdad de oportunidades y la cohesión en toda España. Y debemos afrontarlo desde lo colectivo. Este Gobierno no dejará a nadie atrás, tampoco a ningún territorio. #PueblosConFuturo https://t.co/NwnfSiqbDl",1,1,1,1
1.41E+18,@lacelleradeter @parlamentcat @mhp_LauraBorras Gràcies a vosaltres i enhorabona per la iniciativa! 👏🏼👏🏼👏🏼👏🏼,1,1,1,1
1.38E+18,"Repito, a la piedra.  Sin peros. https://t.co/LYryLV4Cqg",x,x,x,x
1.41E+18,"@Accountable2019 @killRivers @Mgm171171 ¿Que dice? Que llega al mes de gobierno una pandemia y en vez de estar en eso, hay que estar en un cumplimiento de un plazo puesto en un contexto de no pandemia. Claro que si, que sanidad colapse y la gente se muera que lo importante es un plazo.",-1,-1,-1,-1
1.40E+18,El barranquismo como estrategia política.  Iván Redondo. https://t.co/U6uyQy3O8n,0,0,-1,0
1.36E+18,"La anormalidad democrática de España es que un defensor del comunismo, Pablo Iglesias, sea vicepresidente del Gobierno",-1,-1,-1,-1
